абаговомаб;abagovomab;abagovomabum
клодроновая кислота;clodronic acid;acidum clodronicum
клозантел;closantel;closantelum
клозапин;clozapine;clozapinum
клозилат;closilate;closilas (R)
клозирамин;closiramine;closiraminum
клоканфамид;clocanfamide;clocanfamidum
клокапрамин;clocapramine;clocapraminum
клокортолон;clocortolone;clocortolonum
клоксазолам;cloxazolam;cloxazolamum
клоксацеприд;cloxacepride;cloxacepridum
клоксациллин;cloxacillin;cloxacillinum
клоксимат;cloximate;cloximatum
клоксипендил;cloxypendyl;cloxypendylum
клоксихин;cloxiquine;cloxiquinum
клоксотестостерон;cloxotestosterone;cloxotestosteronum
клоксэстрадиол;cloxestradiol;cloxestradiolum
клокумарол;clocoumarol;clocoumarolum
кломакран;clomacran;clomacranum
кломегестон;clomegestone;clomegestonum
клометацин;clometacin;clometacinum
клометерон;clometerone;clometeronum
клометиазол;clomethiazole;clomethiazolum
клометоциллин;clometocillin;clometocillinum
кломинорекс;clominorex;clominorexum
кломипрамин;clomipramine;clomipraminum
кломифен;clomifene;clomifenum
кломифеноксид;clomifenoxide;clomifenoxidum
кломоксир;clomoxir;clomoxirum
кломоциклин;clomocycline;clomocyclinum
клоназепам;clonazepam;clonazepamum
клоназолин;clonazoline;clonazolinum
клонидин;clonidine;clonidinum
клониксерил;clonixeril;clonixerilum
клониксин;clonixin;clonixinum
клонитазен;clonitazene;clonitazenum
клонитрат;clonitrate;clonitratum
клопамид;clopamide;clopamidum
клопентиксол;clopenthixol;clopenthixolum
клоперастин;cloperastine;cloperastinum
клоперидон;cloperidone;cloperidonum
клопидогрел;clopidogrel;clopidogrelum
клопидол;clopidol;clopidolum
клопимозид;clopimozide;clopimozidum
клопипазан;clopipazan;clopipazanum
клопирак;clopirac;clopiracum
клопонон;cloponone;clopononum
клопреднол;cloprednol;cloprednolum
клопростенол;cloprostenol;cloprostenolum
клопротиазол;cloprothiazole;cloprothiazolum
клоранолол;cloranolol;cloranololum
клоргилин;clorgiline;clorgilinum
клорексолон;clorexolone;clorexolonum
клоретат;cloretate;cloretatum
клоридарол;cloridarol;cloridarolum
клорикромен;cloricromen;cloricromenum
клориндановая кислота;clorindanic acid;acidum clorindanicum
клоринданол;clorindanol;clorindanolum
клориндион;clorindione;clorindionum
клормекаин;clormecaine;clormecainum
клороперон;cloroperone;cloroperonum
клоротепин;clorotepine;clorotepinum
клорофен;clorofene;clorofenum
клорпреналин;clorprenaline;clorprenalinum
клорсулон;clorsulon;clorsulonum
клортермин;clortermine;clorterminum
клостебол;clostebol;clostebolum
клотиазепам;clotiazepam;clotiazepamum
клотиапин;clotiapine;clotiapinum
клотиказон;cloticasone;cloticasonum
клотиксамид;clotixamide;clotixamidum
клотиоксон;clotioxone;clotioxonum
клотримазол;clotrimazole;clotrimazolum
клофазимин;clofazimine;clofaziminum
клофарабин;clofarabine;clofarabinum
клофеверин;clofeverine;clofeverinum
клофеданол;clofedanol;clofedanolum
клофезон;clofezone;clofezonum
клофексамид;clofexamide;clofexamidum
клофенамид;clofenamide;clofenamidum
клофенамовая кислота;clofenamic acid;acidum clofenamicum
клофенвинфос;clofenvinfos;clofenvinfosum
клофенетамин;clofenetamine;clofenetaminum
клофеноксид;clofenoxyde;clofenoxydum
клофенотан;clofenotane;clofenotanum
клофенциклан;clofenciclan;clofenciclanum
клофибрат;clofibrate;clofibratum
клофибрид;clofibride;clofibridum
клофибровая кислота;clofibric acid;acidum clofibricum
клофилия фосфат;clofilium phosphate;clofilii phosphas
клофлуперол;clofluperol;clofluperolum
клофоктол;clofoctol;clofoctolum
клофорекс;cloforex;cloforexum
клофурак;clofurac;clofuracum
клохинат;cloquinate;cloquinatum
клохинозин;cloquinozine;cloquinozinum
клоцигуанил;clociguanil;clociguanilum
клоцинизин;clocinizine;clocinizinum
кобамамид;cobamamide;cobamamidum
кобиметиниб;cobimetinib;cobimetinibum
кобипростон;cobiprostone;cobiprostonum
Кобитолимод;cobitolimod;cobitolimodum
кобицистат;cobicistat;cobicistatum
когазоцин;cogazocine;cogazocinum
кодактид;codactide;codactidum
кодоксим;codoxime;codoximum
кодритузумаб;codrituzumab;codrituzumabum
козитекан;cositecan;cositecanum
кокарбоксилаза;cocarboxylase;cocarboxylasum
колезевелам;colesevelam;colesevelamum
колекальциферол;colecalciferol;colecalciferolum
колекстран;colextran;colextranum
коленейрамид;coleneuramide;coleneuramidum
колестилан;colestilan;colestilanum
колестипол;colestipol;colestipolum
колестирамин;colestyramine;colestyraminum
колестолон;colestolone;colestolonum
колимециклин;colimecycline;colimecyclinum
колистиметат натрия;colistimethate sodium;colistimethatum natricum
колистин;colistin;colistinum
колтерол;colterol;colterolum
колтуксимаб равтансин;coltuximab ravtansine;coltuximabum ravtansinum
колурацетам;coluracetam;coluracetamum
колфенамат;colfenamate;colfenamatum
колфорсин;colforsin;colforsinum
колфосцерила пальмитат;colfosceril palmitate;colfoscerili palmitas
конатумумаб;conatumumab;conatumumabum
конберцепт;conbercept;conberceptum
кондолиаза;condoliase;condoliasum
конессин;conessine;conessinum
конестат альфа;conestat alfa;conestatum alfa
кониваптан;conivaptan;conivaptanum
конорфон;conorfone;conorfonum
контусуген ладеновек;contusugene ladenovec;contusugenum ladenovecum
концизумаб;concizumab;concizumabum
копанлисиб;copanlisib;copanlisibum
корбадрин;corbadrine;corbadrinum
корифоллитропин альфа;corifollitropin alfa;corifollitropinum alfa
корметазон;cormetasone;cormetasonum
кортивазол;cortivazol;cortivazolum
кортизон;cortisone;cortisonum
кортикорелин;corticorelin;corticorelinum
кортикотропин;corticotropin;corticotropinum
кортикотропина цинка гидроксид;corticotropin zinc hydroxide;corticotropinum zinci hydroxydum
кортисузол;cortisuzol;cortisuzolum
кортодоксон;cortodoxone;cortodoxonum
котинин;cotinine;cotininum
котриптилин;cotriptyline;cotriptylinum
кофизатин;cofisatin;cofisatinum
креатинолфосфат;creatinolfosfate;creatinolfosfatum
крезотамид;cresotamide;cresotamidum
кренезумаб;crenezumab;crenezumabum
креноланиб;crenolanib;crenolanibum
криданимод;cridanimod;cridanimodum
кризанлизумаб;crizanlizumab;crizanlizumabum
кризотиниб;crizotinib;crizotinibum
криланомер;crilanomer;crilanomerum
крилвастатин;crilvastatin;crilvastatinum
криофлуоран;cryofluorane;cryofluoranum
крисаборол;crisaborole;crisaborolum
крисантаспаза;crisantaspase;crisantaspasum
криснатол;crisnatol;crisnatolum
кробенетин;crobenetine;crobenetinum
кробефат;crobefate;crobefas (R)
кроконазол;croconazole;croconazolum
кролибулин;crolibulin;crolibulinum
кромакалим;cromakalim;cromakalimum
кромакат;cromacate;cromacas (R)
кромесилат;cromesilate;cromesilas (R)
кромитрил;cromitrile;cromitrilum
кромогликат лизетил;cromoglicate lisetil;cromoglicas lisetilum
кромоглициевая кислота;cromoglicic acid;acidum cromoglicicum
кронидипин;cronidipine;cronidipinum
кропропамид;cropropamide;cropropamidum
кроскармеллоза;croscarmellose;croscarmellosum
кросповидон;crospovidone;crospovidonum
кротамитон;crotamiton;crotamitonum
кротедумаб;crotedumab;crotedumabum
кротетамид;crotetamide;crotetamidum
кротониазид;crotoniazide;crotoniazidum
круфомат;crufomate;crufomatum
ксалипроден;xaliproden;xaliprodenum
ксамотерол;xamoterol;xamoterolum
ксаноксовая кислота;xanoxic acid;acidum xanoxicum
ксаномелин;xanomeline;xanomelinum
ксантинола никотинат;xantinol nicotinate;xantinoli nicotinas
ксантиол;xanthiol;xanthiolum
ксантифибрат;xantifibrate;xantifibratum
ксантофила пальмитат;xantofyl palmitate;xantofyli palmitas
ксантоциллин;xantocillin;xantocillinum
ксемилофибан;xemilofiban;xemilofibanum
ксеназоевая кислота;xenazoic acid;acidum xenazoicum
ксеналипин;xenalipin;xenalipinum
ксенбуцин;xenbucin;xenbucinum
ксенигексеновая кислота;xenyhexenic acid;acidum xenyhexenicum
ксениглоксал;xenygloxal;xenygloxalum
ксенипентон;xenipentone;xenipentonum
ксенисалат;xenysalate;xenysalatum
ксенитропия бромид;xenytropium bromide;xenytropii bromidum
ксенон (133Xe);xenon (133Xe);xenonum (133Xe)
ксентиорат;xenthiorate;xenthioratum
ксентузумаб;xentuzumab;xentuzumabum
ксибенолол;xibenolol;xibenololum
ксиборнол;xibornol;xibornolum
ксидекафлур;xidecaflur;xidecaflurum
ксилазин;xylazine;xylazinum
ксиламидина тозилат;xylamidine tosilate;xylamidini tosilas
ксилобам;xilobam;xilobamum
ксилоксемин;xyloxemine;xyloxeminum
ксилокумарол;xylocoumarol;xylocoumarolum
ксилометазолин;xylometazoline;xylometazolinum
